FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etablissement_nom,etab_adr,ouverture_jour,etablissement_categorie,terrain,inspection_tutelle,terrain_sport,ministere_tutelle,geometry
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48cd,Kara,Kozah,Kozah 1,Commune De Kara,Tchaloude,JEP Tchaloude Ga,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.199448333333333 9.56536)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48cc,Kara,Kozah,Kozah 1,Commune De Kara,Cofac,JEP Cofac,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.1957247689956354 9.546329376117393)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48cb,Kara,Kozah,Kozah 1,Commune De Kara,Kolide,JEP Lama Kolide Gb,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.1975704653984998 9.585871714719891)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48ca,Kara,Kozah,Kozah 1,Commune De Kara,Tchitchinida,Primaire CS Charles De Gaulle,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Prive - individuel,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.2030897645498764 9.546267910786389)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48c9,Kara,Kozah,Kozah 1,Commune De Kara,Adjambissi,EPP Adjambissi,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Domaine public de l'Etat,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.195927143250757 9.531184092831694)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48c8,Kara,Kozah,Kozah 1,Commune De Kara,Kara sud,JEP Kara Sud Gb,Néant,"{Lundi,Mardi,Mercredi,Vendredi,Jeudi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.1965258500692095 9.537028738087773)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48c7,Kara,Kozah,Kozah 1,Commune De Kara,Tchaloude,EPP Tchaloude,Néant,"{Mardi,Lundi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Nsp,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.1997575665338929 9.5649578592104)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48c6,Kara,Kozah,Kozah 1,Commune De Kara,Tomde marché,JEP Tomde Marche Gb,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.2067895160271243 9.564384377390848)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48c5,Kara,Kozah,Kozah 1,Commune De Kara,Tomde,JEPL CS Espoir,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.203664744004233 9.557338906910369)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48c4,Kara,Kozah,Kozah 1,Commune De Kara,Tchitchinida,Jardin CS Charles De Gaulle,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.2031210789671472 9.546311321822936)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48c3,Kara,Kozah,Kozah 1,Commune De Kara,Kpedah,EPP Kpedah Ga,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Domaine public de l'Etat,IEPP Kozah-Centre,Oui,MEPSTA,POINT (1.1878033795129146 9.588302486525702)
