indicator_id,country_id,year,value,magnitude,qualifier
AIR.2.GPV.GLAST.GPIA,TGO,2004,.5022100210189819,,
AIR.2.GPV.GLAST.GPIA,TGO,2005,.5156599879264832,,
AIR.2.GPV.GLAST.GPIA,TGO,2006,.5328800082206726,,
AIR.2.GPV.GLAST.GPIA,TGO,2007,.5082600116729736,,
AIR.2.GPV.GLAST.GPIA,TGO,2008,.5211799740791321,,
AIR.2.GPV.GLAST.GPIA,TGO,2010,.5385434423663706,,
AIR.2.GPV.GLAST.GPIA,TGO,2011,.5743369849182519,,
AIR.2.GPV.GLAST.GPIA,TGO,2013,.6186513247139795,,
AIR.2.GPV.GLAST.GPIA,TGO,2014,.6348921694555731,,
AIR.2.GPV.GLAST.GPIA,TGO,2015,.6611709972907981,,
AIR.2.GPV.GLAST.GPIA,TGO,2016,.6911738089554063,,
AIR.2.GPV.GLAST.GPIA,TGO,2017,.7244119557762705,,
AIR.2.GPV.GLAST.GPIA,TGO,2018,.7621809977912295,,
AIR.2.GPV.GLAST.GPIA,TGO,2019,.8108217584079455,,
AIR.2.GPV.GLAST.GPIA,TGO,2020,.8242062403000951,,
AIR.2.GPV.GLAST.GPIA,TGO,2021,.8252184050412391,,
AIR.2.GPV.GLAST.GPIA,TGO,2022,.8972413359761914,,
AIR.2.GPV.GLAST.GPIA,TGO,2023,.9045321109990911,,
AIR.2.GPV.GLAST.GPIA,TGO,2024,.9240289736024189,,
AIR.2.GPV.GLAST.M,TGO,1974,10.75613975524902,,
AIR.2.GPV.GLAST.M,TGO,1975,13.58028984069824,,
AIR.2.GPV.GLAST.M,TGO,1976,15.66415023803711,,
AIR.2.GPV.GLAST.M,TGO,1977,20.79340934753418,,
AIR.2.GPV.GLAST.M,TGO,1978,25.17645072937012,,
AIR.2.GPV.GLAST.M,TGO,1979,30.06163024902344,,
AIR.2.GPV.GLAST.M,TGO,1980,35.22748947143555,,
AIR.2.GPV.GLAST.M,TGO,1981,34.0070915222168,,
AIR.2.GPV.GLAST.M,TGO,1982,32.68539810180664,,
AIR.2.GPV.GLAST.M,TGO,1983,26.31100082397461,,
AIR.2.GPV.GLAST.M,TGO,1984,19.71742057800293,,
AIR.2.GPV.GLAST.M,TGO,1985,17.68907928466797,,
AIR.2.GPV.GLAST.M,TGO,1986,17.06390953063965,,
AIR.2.GPV.GLAST.M,TGO,1987,17.19005012512207,,
AIR.2.GPV.GLAST.M,TGO,1988,15.87047958374023,,
AIR.2.GPV.GLAST.M,TGO,1989,17.6417407989502,,
AIR.2.GPV.GLAST.M,TGO,1990,19.39012908935547,,
AIR.2.GPV.GLAST.M,TGO,1991,18.52515029907227,,
AIR.2.GPV.GLAST.M,TGO,1992,20.3797607421875,,
AIR.2.GPV.GLAST.M,TGO,1994,18.26457023620605,,
AIR.2.GPV.GLAST.M,TGO,1995,22.84612083435059,,
AIR.2.GPV.GLAST.M,TGO,1996,23.24580955505371,,
AIR.2.GPV.GLAST.M,TGO,1999,29.51951026916504,,
AIR.2.GPV.GLAST.M,TGO,2000,31.0264892578125,,
AIR.2.GPV.GLAST.M,TGO,2001,35.81195831298828,,
AIR.2.GPV.GLAST.M,TGO,2002,40.10860061645508,,
AIR.2.GPV.GLAST.M,TGO,2003,42.42774963378906,,
AIR.2.GPV.GLAST.M,TGO,2004,45.34159088134766,,
AIR.2.GPV.GLAST.M,TGO,2005,50.25899887084961,,
AIR.2.GPV.GLAST.M,TGO,2006,49.71623992919922,,
AIR.2.GPV.GLAST.M,TGO,2007,42.47768020629883,,
AIR.2.GPV.GLAST.M,TGO,2008,44.1732292175293,,
AIR.2.GPV.GLAST.M,TGO,2010,43.76426531086419,,
AIR.2.GPV.GLAST.M,TGO,2011,47.95342889831079,,
AIR.2.GPV.GLAST.M,TGO,2013,46.56500427915662,,
AIR.2.GPV.GLAST.M,TGO,2014,44.63447858332072,,
AIR.2.GPV.GLAST.M,TGO,2015,47.54918754894283,,
AIR.2.GPV.GLAST.M,TGO,2016,48.95601849100999,,
AIR.2.GPV.GLAST.M,TGO,2017,52.81081642305872,,
AIR.2.GPV.GLAST.M,TGO,2018,53.52085789680534,,
AIR.2.GPV.GLAST.M,TGO,2019,54.88390449253436,,
